,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Max Timepoint
9,k403,Ramicane,Male,21,16,45,22.05012627,1,45
19,s185,Capomulin,Female,3,17,45,23.34359787,1,45
29,x401,Capomulin,Female,16,15,45,28.48403281,0,45
39,m601,Capomulin,Male,22,17,45,28.43096411,1,45
49,g791,Ramicane,Male,11,16,45,29.12847181,1,45
59,s508,Ramicane,Male,1,17,45,30.27623175,0,45
64,f966,Capomulin,Male,16,17,20,30.48598484,0,20
74,m546,Ramicane,Male,18,16,45,30.56462509,1,45
84,z578,Ramicane,Male,11,16,45,30.63869575,0,45
94,j913,Ramicane,Female,4,17,45,31.56046955,1,45
104,u364,Capomulin,Male,18,17,45,31.02392294,3,45
114,n364,Ramicane,Male,4,17,45,31.09533505,1,45
124,y793,Capomulin,Male,17,17,45,31.896238399999998,2,45
134,r554,Capomulin,Female,8,17,45,32.37735684,3,45
144,m957,Capomulin,Female,3,19,45,33.32909778,1,45
154,c758,Ramicane,Male,9,17,45,33.39765251,1,45
164,t565,Capomulin,Female,20,17,45,34.45529799,0,45
174,a644,Ramicane,Female,7,17,45,32.97852192,1,45
184,i177,Ramicane,Male,10,18,45,33.56240217,3,45
194,j989,Ramicane,Male,8,19,45,36.13485243,1,45
204,i738,Capomulin,Female,23,20,45,37.31184577,2,45
214,a520,Ramicane,Male,13,21,45,38.81036633,1,45
224,w914,Capomulin,Male,24,21,45,36.04104736,2,45
234,r811,Ramicane,Male,9,19,45,37.22565033,1,45
244,g288,Capomulin,Male,3,19,45,37.07402422,1,45
254,i334,Ramicane,Female,8,20,45,36.37451039,2,45
262,q610,Ramicane,Female,18,21,35,36.56165229,2,35
272,d251,Ramicane,Female,8,19,45,37.31123552,2,45
282,l897,Capomulin,Male,17,19,45,38.84687569,1,45
289,c458,Ramicane,Female,23,20,30,38.34200823,2,30
299,b742,Capomulin,Male,7,21,45,38.93963263,0,45
309,b128,Capomulin,Female,9,22,45,38.98287774,2,45
317,j246,Capomulin,Female,21,21,35,38.75326548,1,35
327,a411,Ramicane,Male,3,22,45,38.407618299999996,1,45
337,j119,Capomulin,Female,7,23,45,38.125164399999996,1,45
340,w150,Capomulin,Male,23,23,10,39.95234669,0,10
350,v923,Capomulin,Female,19,21,45,40.65812366,2,45
360,g316,Capomulin,Female,22,22,45,40.1592203,2,45
370,s710,Capomulin,Female,1,23,45,40.72857787,1,45
380,l509,Capomulin,Male,17,21,45,41.48300765,3,45
390,r944,Capomulin,Male,12,25,45,41.58152074,2,45
400,e662,Ramicane,Male,8,24,45,40.65900627,2,45
410,u196,Ramicane,Male,18,25,45,40.66771292,3,45
420,q597,Ramicane,Male,20,25,45,45.22086888,2,45
430,a444,Ramicane,Female,10,25,45,43.04754260000001,0,45
440,i557,Capomulin,Female,1,24,45,47.68596303,1,45
447,r921,Ramicane,Female,5,25,30,43.41938077,1,30
449,w678,Ramicane,Female,5,24,5,43.16637266,0,5
453,y449,Ramicane,Male,19,24,15,44.18345092,0,15
463,a203,Infubinol,Female,20,23,45,67.97341878,2,45
473,a251,Infubinol,Female,21,25,45,65.52574285,1,45
483,a275,Ceftamin,Female,20,28,45,62.99935619,3,45
490,a577,Infubinol,Female,6,25,30,57.03186187,2,30
500,a685,Infubinol,Male,8,30,45,66.08306589,3,45
501,b447,Ceftamin,Male,2,30,0,45.0,0,0
507,b487,Ceftamin,Female,6,28,25,56.05774909,1,25
514,b759,Ceftamin,Female,12,25,30,55.74282869,1,30
524,c139,Infubinol,Male,11,28,45,72.2267309,2,45
526,c326,Infubinol,Female,18,25,5,36.321345799999996,0,5
533,c895,Infubinol,Female,7,29,30,60.96971133,2,30
543,e476,Infubinol,Male,23,26,45,62.43540402,1,45
553,f345,Infubinol,Male,23,26,45,60.91876652,1,45
557,f436,Ceftamin,Female,3,25,15,48.72207785,2,15
559,h531,Ceftamin,Male,5,27,5,47.784681799999994,0,5
568,i386,Infubinol,Female,23,29,40,67.28962147,4,40
578,j296,Ceftamin,Female,24,30,45,61.84902336,3,45
588,k210,Ceftamin,Male,15,28,45,68.92318457,3,45
598,k483,Infubinol,Female,20,30,45,66.19691151,3,45
606,k804,Infubinol,Female,23,29,35,62.11727887,2,35
616,l471,Ceftamin,Female,7,28,45,67.74866174,1,45
623,l490,Ceftamin,Male,24,26,30,57.91838132,3,30
626,l558,Ceftamin,Female,13,30,10,46.78453491,0,10
636,l661,Ceftamin,Male,18,26,45,59.85195552,3,45
646,l733,Ceftamin,Female,4,30,45,64.29983003,1,45
648,m756,Infubinol,Male,19,30,5,47.01036401,1,5
655,n671,Infubinol,Male,18,25,30,60.16518046,0,30
665,o287,Ceftamin,Male,2,28,45,59.74190064,4,45
673,o809,Infubinol,Male,3,25,35,55.62942846,1,35
675,o813,Infubinol,Male,24,28,5,45.69933088,0,5
685,p438,Ceftamin,Female,11,26,45,61.43389223,1,45
692,q132,Infubinol,Female,1,30,30,54.65654872,4,30
701,q483,Ceftamin,Male,6,26,40,64.19234114,1,40
705,r157,Capomulin,Male,22,25,15,46.53920617,0,15
711,s121,Infubinol,Male,23,26,25,55.65068132,2,25
712,t573,Ceftamin,Female,15,27,0,45.0,0,0
718,u149,Ceftamin,Male,24,29,25,52.92534846,0,25
719,u153,Ceftamin,Female,11,25,0,45.0,0,0
721,v339,Infubinol,Male,20,26,5,46.25011212,0,5
726,v719,Infubinol,Female,17,30,20,54.04860769,1,20
730,v766,Infubinol,Male,16,27,15,51.54243058,1,15
740,w151,Ceftamin,Male,24,25,45,67.52748237,3,45
745,w193,Infubinol,Male,22,30,20,50.00513807,0,20
752,w584,Infubinol,Male,3,29,30,58.26844248,1,30
753,x226,Ceftamin,Male,23,28,0,45.0,0,0
763,x581,Ceftamin,Female,19,28,45,64.63494887,3,45
773,x822,Ceftamin,Male,3,29,45,61.38666032,3,45
783,y163,Infubinol,Female,17,27,45,67.68556862,3,45
793,y769,Ceftamin,Female,6,27,45,68.59474498,4,45
803,y865,Ceftamin,Male,23,26,45,64.72983655,3,45
813,z581,Infubinol,Female,24,25,45,62.75445141,3,45
